model,accuracy,f1_weighted,f1_macro,cv_mean,cv_std
naive_bayes_tfidf,0.9655172413793104,0.9659634468480045,0.9674948240165632,0.952011655634216,0.02551302791615338
naive_bayes_count,0.9655172413793104,0.9659634468480045,0.9674948240165632,0.9517907866102778,0.01666313953447442
svm_tfidf,0.9655172413793104,0.9659634468480045,0.9674948240165632,0.9692202401428407,0.02987605134887464
logistic_regression_tfidf,0.9482758620689655,0.9488589038813927,0.9509003074220466,0.955594751774767,0.058121121200612226
svm_count,0.9482758620689655,0.9488232074438971,0.9508626639061422,0.9646608308210141,0.03021319191108233
gradient_boosting_count,0.9482758620689655,0.9476161919040479,0.9506376811594203,0.8830614693881621,0.07616403241635912
random_forest_count,0.9482758620689655,0.9466036212662899,0.9498327759197325,0.8698399200097947,0.06420553791240075
gradient_boosting_tfidf,0.9310344827586207,0.9317733990147784,0.9347619047619047,0.8593598719896338,0.033346495139046195
logistic_regression_count,0.9137931034482759,0.9124437781109445,0.9164558629776021,0.938236219077068,0.049633176292576645
random_forest_tfidf,0.8620689655172413,0.8586206896551725,0.86,0.846284930887502,0.09584720420825925
